date (D/M/YYYY),station_id,station_name,forecasted_temp,Crop,Temp_Min,Temp_Max,suitability
30/01/2025,91375,Creesy (Brumbys Creek),17.28166666666667,Avocados,20,30,0
30/01/2025,91375,Creesy (Brumbys Creek),17.28166666666667,Berries,10,25,1
30/01/2025,91375,Creesy (Brumbys Creek),17.28166666666667,Tomatoes,18,30,0
30/01/2025,91375,Creesy (Brumbys Creek),17.28166666666667,Capsicums,20,30,0
30/01/2025,91375,Creesy (Brumbys Creek),17.28166666666667,Carrots,16,24,1
30/01/2025,91375,Creesy (Brumbys Creek),17.28166666666667,Potatoes,15,20,1
31/01/2025,91375,Creesy (Brumbys Creek),16.64933333333331,Wheat,15,25,1
31/01/2025,91375,Creesy (Brumbys Creek),16.64933333333331,Cotton,20,35,0
31/01/2025,91375,Creesy (Brumbys Creek),16.64933333333331,Grapes,15,30,1
31/01/2025,91375,Creesy (Brumbys Creek),16.64933333333331,Corn,18,27,0
31/01/2025,91375,Creesy (Brumbys Creek),16.64933333333331,Avocados,20,30,0
31/01/2025,91375,Creesy (Brumbys Creek),16.64933333333331,Berries,10,25,1
31/01/2025,91375,Creesy (Brumbys Creek),16.64933333333331,Tomatoes,18,30,0
31/01/2025,91375,Creesy (Brumbys Creek),16.64933333333331,Capsicums,20,30,0
31/01/2025,91375,Creesy (Brumbys Creek),16.64933333333331,Carrots,16,24,1
31/01/2025,91375,Creesy (Brumbys Creek),16.64933333333331,Potatoes,15,20,1
01/02/2025,91375,Creesy (Brumbys Creek),18.15866666666665,Wheat,15,25,1
01/02/2025,91375,Creesy (Brumbys Creek),18.15866666666665,Cotton,20,35,0
01/02/2025,91375,Creesy (Brumbys Creek),18.15866666666665,Grapes,15,30,1
01/02/2025,91375,Creesy (Brumbys Creek),18.15866666666665,Corn,18,27,1
01/02/2025,91375,Creesy (Brumbys Creek),18.15866666666665,Avocados,20,30,0
01/02/2025,91375,Creesy (Brumbys Creek),18.15866666666665,Berries,10,25,1
01/02/2025,91375,Creesy (Brumbys Creek),18.15866666666665,Tomatoes,18,30,1
01/02/2025,91375,Creesy (Brumbys Creek),18.15866666666665,Capsicums,20,30,0
01/02/2025,91375,Creesy (Brumbys Creek),18.15866666666665,Carrots,16,24,1
